2023-01-26T01:41:56.653Z,mb,"64 km SSE of Farkhār, Afghanistan",earthquake
2023-01-26T01:26:19.840Z,ml,"2 km SW of Pāhala, Hawaii",earthquake
2023-01-26T01:17:00.960Z,mb,Peru-Bolivia border region,earthquake
2023-01-26T01:11:28.150Z,md,"9km SSE of San Juan Bautista, CA",earthquake
2023-01-26T00:45:03.840Z,md,"6 km N of Yaurel, Puerto Rico",earthquake
2023-01-25T23:38:27.512Z,mb,"92 km NW of Semera, Ethiopia",earthquake
2023-01-25T23:23:43.160Z,md,"81km W of Petrolia, CA",earthquake
2023-01-25T23:21:33.679Z,mb,"29 km SSE of Kangding, China",earthquake
2023-01-25T23:14:42.540Z,mb,south of the Fiji Islands,earthquake
2023-01-25T22:27:31.440Z,mb,Mariana Islands region,earthquake
2023-01-25T21:53:05.590Z,mb,"61 km N of Khandūd, Afghanistan",earthquake
2023-01-25T21:19:09.400Z,mb,"Western Sichuan, China",earthquake
2023-01-25T20:57:21.130Z,mb,"45 km SSE of Kangding, China",earthquake
2023-01-25T20:51:10.639Z,mb,"41 km SSE of Kangding, China",earthquake
2023-01-25T20:30:44.433Z,mb,"34 km SSE of Kangding, China",earthquake
2023-01-25T20:13:06.656Z,mb,Kermadec Islands region,earthquake
2023-01-25T19:49:45.325Z,mww,"27 km SSE of Kangding, China",earthquake
2023-01-25T19:31:08.670Z,mb,Molucca Sea,earthquake
2023-01-25T17:43:57.530Z,md,"6km NW of The Geysers, CA",earthquake
2023-01-25T17:17:43.240Z,ml,"Island of Hawaii, Hawaii",earthquake
2023-01-25T16:02:10.344Z,mb,"146 km S of Hotan, China",earthquake
2023-01-25T15:51:50.966Z,mb,"170 km NW of Tobelo, Indonesia",earthquake
2023-01-25T15:13:35.862Z,ml,"Kodiak Island region, Alaska",earthquake
2023-01-25T15:09:34.409Z,mb,Kermadec Islands region,earthquake
2023-01-25T14:12:54.029Z,mww,"44 km WNW of Panguna, Papua New Guinea",earthquake
